id,department
1,Apparel
2,Bags and Luggage
3,Arts and Crafts
4,Auto
5,Baby
6,Bath
7,Bed
8,Books
9,Cleaning
10,Decor
11,Electronics
12,Gift Card
13,Toys and Games
14,Exercise
15,Food and Drink
16,Furniture
17,Health
18,Home
19,Kitchen
20,Lawn and Garden
21,Media
22,Music
23,Other
24,Outdoors
25,Personal Care
26,Pet Supplies
27,School and Office
28,Science
29,Tools
